Frecuencia_kHz,H0_kA_m,Pendiente,Pendiente_err
300,20,8.586149919999999,0.0704025821463503
300,24,8.6689515,0.058892379659850676
300,27,8.565015291666667,0.07005604584633127
300,31,8.526268269230771,0.07027887183026776
300,35,8.606577136363637,0.07038814734307529
300,38,8.510125583333332,0.0449836490293202
300,42,8.666440074074073,0.09130191041688163
300,46,8.809105925925927,0.11977511565705619
300,50,8.75192088,0.0632261062184411
300,53,8.689430304347827,0.060519872428983365
300,57,9.17291624,0.05868450211514449
270,20,8.319255,0.09492309849010912
270,24,8.337943076923077,0.07758139043458374
270,27,8.501549925925925,0.06038367673710184
270,31,8.7099642,0.08779919010423747
270,35,8.736273259259258,0.04495770511524229
270,38,8.623735222222221,0.043712391375929915
270,42,7.559651703703702,0.05411312424282679
270,46,8.895172192307694,0.06473218673000027
270,50,9.009848076923076,0.10699713137021767
270,53,9.06240580769231,0.09480616230215731
270,57,8.827883178571428,0.09900919881327541
240,20,8.104962043478261,0.07930630916810893
240,24,8.27086096,0.09679871982892327
240,27,8.217437307692308,0.07420088436688878
240,31,8.274896159999999,0.0534866705964617
240,35,8.24083028,0.05402458552882757
240,38,8.497578846153846,0.04752978581470473
240,42,8.709370200000002,0.05865743472467938
240,46,8.536387240000002,0.0459645347913194
240,50,8.531654640000001,0.11304841419564622
240,53,8.680905851851852,0.06413943462760191
240,57,8.595447538461539,0.05999799503267453
212,20,8.269683461538461,0.10881945591286334
212,24,8.203336423076923,0.085716537067141
212,27,8.487475086956522,0.09264955428594211
212,31,8.375555047619049,0.07586741031718307
212,35,8.49364364,0.0630091605390073
212,38,9.023918620689656,0.0782319441684366
212,42,8.65689395652174,0.0691190356127861
212,46,8.626305846153846,0.0814913658355629
212,50,8.12971252,0.08116915528604204
212,53,8.573042407407407,0.08391598949710634
212,57,8.886672391304348,0.10359559801657649
175,20,9.48337684,0.11391601960626262
175,24,9.1928374,0.11393986325356016
175,27,9.330347185185182,0.08980834593899971
175,31,9.337957307692307,0.10494251225158725
175,35,9.278385400000001,0.10144321180522615
175,38,9.05058896,0.15428080412947817
175,42,9.337306120000001,0.11352022050800308
175,46,9.53623864,0.22102677524985606
175,50,9.517262961538462,0.17084167107396464
175,53,10.020260480000001,0.1660628447045565
175,57,10.350960571428569,0.21370044624517695
135,20,7.856393037037038,0.11203058794331382
135,24,8.282874999999999,0.08374650465955151
135,27,7.925234560000001,0.09863942495699374
135,31,8.244617961538461,0.10331847454704929
135,35,8.39751148,0.08816559672848366
135,38,8.052868962962965,0.0853031875573421
135,42,8.121271,0.32294062145921115
135,46,8.39417073076923,0.09156052407122167
135,50,8.354014153846155,0.08589188426634088
135,53,8.163449708333333,0.12502379345764517
135,57,8.49367368,0.13651212971563217
112,20,8.965792565217392,0.14044391446064278
112,24,9.026337807692308,0.14297310605011296
112,27,8.967052115384615,0.16192485035214207
112,31,8.959878629629628,0.1197438707427457
112,35,9.365857307692307,0.16920433833790108
112,38,9.431373615384613,0.12853351789202005
112,42,9.5360662,0.15273962484856368
112,46,9.568831555555557,0.14546261047286418
112,50,9.514574,0.11771986542407163
112,53,9.74781111111111,0.12202669688238177
112,57,9.310969321428567,0.12809034249088574
